id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365
630599	Appartement Roses Piscine Vue Mer	3134961	Adrienne		Roses	42.25036	3.19165	Entire home/apt	60	4	72	2020-09-26	01.08	1	300
640110	Bungalow CERÇ 350m to the beach	2702852	Bungalodge		Sant Feliu de Guíxols	41.78537	3.04101	Entire home/apt	150	7	0			4	350
641356	DeWaard tent 5persons 850m to beach	2563515	Camping Punta Milà		L'Escala	42.11059	3.15986	Entire home/apt	50	4	0			2	350
643415	Apartment with garden near lake	3303625	Joan		Banyoles	42.12426	2.76006	Entire home/apt	119	4	17	2020-08-09	0.18	1	354
644988	RURAL HOUSE IN PLA DE L'ESTANY.	3228921	Carlus		Crespià	42.18756	2.79723	Entire home/apt	177	2	8	2020-02-09	0.20	1	340
652289	Tranquilidad en la Costa Brava	1222194	Rosario		Torrent	41.9513	3.12588	Entire home/apt	167	7	13	2020-08-24	0.25	1	365
653204	House for 6p. with community swimming pool	3284177	Alan		Torroella de Montgrí	42.05334	3.17027	Entire home/apt	125	7	4	2020-08-22	0.04	1	364
654268	House with garden in L' Estartit	3291240	Dolors		Torroella de Montgrí	42.05298	3.17176	Entire home/apt	130	13	4	2020-07-31	0.06	1	358
658376	Beautiful garden house, 100m to sea	3318869	Asun		Torroella de Montgrí	42.05382	3.20081	Entire home/apt	100	8	8	2019-08-17	0.09	1	365
662554	APARTMENT TO 17 METERS FROM THE BEA	3346361	Juan Antonio		Calonge	41.8477	3.10845	Entire home/apt	47	2	4	2019-06-24	0.04	1	335
664499	Palamós Dúplex centro. Renovado!	3375051	Montse		Palamós	41.84793	3.12901	Entire home/apt	88	3	50	2020-09-13	0.55	1	0
669086	CAN CARANTA - Rustic Catalina House	3387407	Enric & Gemma		Pals	41.97039	3.14931	Entire home/apt	170	2	43	2020-08-08	0.44	12	306
669661	CAN FELIP - Apartment 2 (18th c.)	3387407	Enric & Gemma		Palafrugell	41.91802	3.1642	Entire home/apt	95	2	26	2020-03-21	0.27	12	362
671241	CAN TARONGETA - Sunny Penthouse 2-1	3387407	Enric & Gemma		Palafrugell	41.91724	3.16691	Entire home/apt	90	2	28	2019-06-29	0.29	12	302
671251	CAN CARANTA - Rustic Aurora House	3387407	Enric & Gemma		Pals	41.97043	3.14927	Entire home/apt	170	2	47	2019-12-30	0.59	12	332
672069	CAN TARONGETA - Sunny Apartment B-1	3387407	Enric & Gemma		Palafrugell	41.91727	3.16684	Entire home/apt	80	2	9	2019-09-01	0.10	12	363
672303	Can Torras Farmhouse Cottage and space to roam	153805	Karen		Quart	41.95456	2.89755	Private room	90	2	64	2020-08-24	0.70	4	209
679690	Apartamento en Peralada	3459542	Josefina		Peralada	42.30769	3.00821	Entire home/apt	110	2	25	2020-08-09	0.48	1	354
684386	Отдых в течение всего года .	3489532	Alfredo		Tossa de Mar	41.71612	2.93151	Entire home/apt	93	5	31	2020-08-20	0.35	1	351
695685	House in Costa Brava with salt pool	3561447	Margarita		Calonge	41.86528	3.07907	Private room	60	1	48	2020-08-28	0.62	1	365
701658	Bungalow GREGAL with private garden	2702852	Bungalodge		Sant Feliu de Guíxols	41.78559	3.04073	Entire home/apt	125	7	0			4	350
701726	Bungalow GARBÍ 350m to the beach	2702852	Bungalodge		Sant Feliu de Guíxols	41.78551	3.04186	Entire home/apt	118	7	0			4	350
703927	HQ for Happy Days - Gironalet has 4 bedrooms!	3615085	Liza		Girona	41.97747	2.8186	Entire home/apt	140	4	36	2019-08-28	0.37	1	310
704991	HOUSE WITH POOL AND BARBECUE	3622155	Carmina		Camós	42.08787	2.78358	Entire home/apt	257	2	0			1	349
706549	BEAUTIFUL APARTMENT with POOL TOSSA	1298586	Kristjan Y Ana		Tossa de Mar	41.72387	2.92717	Entire home/apt	91	6	4	2019-08-24	0.06	115	70
706921	Bungalows Ganxó for 3 persons Spain	2702852	Bungalodge		Sant Feliu de Guíxols	41.78573	3.04034	Entire home/apt	75	7	0			4	350
714603	Rural house El Pati de l´Albera - Wine Experience	3680160	Roberto		Sant Climent Sescebes	42.36958	2.9803	Entire home/apt	254	1	27	2020-07-17	0.28	6	358
716080	CASA CON  ENCANTO EN EL PIRINEO	3690043	Carme		Vilallonga de Ter	42.33066	2.31134	Entire home/apt	69	2	45	2019-06-24	0.54	2	359
721266	Double room ensuite & views with swimmingpool	3723757	Noemí		Arbúcies	41.81913	2.46991	Private room	78	2	11	2019-11-03	0.12	3	300
721891	CENTURY FARMHOUSE APARTMENT XVI	3727284	Vilà		La Cellera de Ter	41.97638	2.61334	Entire home/apt	85	2	156	2020-09-04	1.64	3	362
723935	Best terrace of Costa Brava	2966284	David		Begur	41.96131	3.23035	Entire home/apt	229	6	15	2020-08-27	0.50	1	0
736891	Apartment-loft in Besalú	3846991	Violeta		Besalú	42.20006	2.69878	Entire home/apt	81	1	109	2020-09-10	1.12	3	359
739436	Apartamento piscina | wifi | Garaje | Roses	3867330	Antoni		Roses	42.26629	3.14653	Entire home/apt	48	2	7	2017-06-24	0.09	2	365
745384	Dream Architect in Costa Brava	52356704	Valeria		Begur	41.95645	3.2108	Entire home/apt	339	7	11	2019-08-31	0.14	1	355
745864	Cozy house at Girona's Countryside	3911602	Ruth		Cassà de la Selva	41.88238	2.92429	Entire home/apt	150	6	38	2020-08-23	0.43	1	358
751638	Room Limon - Casa Pati de l´Albera	3680160	Roberto		Sant Climent Sescebes	42.36958	2.9803	Private room	41	2	6	2018-08-29	0.07	6	354
751997	CAN FELIP - Penthouse (18th c.)	3387407	Enric & Gemma		Palafrugell	41.91798	3.16419	Entire home/apt	80	2	15	2020-08-03	0.27	12	345
752035	CAN TARONGETA - Sunny Apartment 1-1	3387407	Enric & Gemma		Palafrugell	41.91801	3.17085	Entire home/apt	80	2	10	2016-08-06	0.11	12	365
753070	Rustic "Mas" farmhouse Costa Brava | Dalí 4 Pax	3961251	Ana		Vilanant	42.25835	2.87583	Entire home/apt	130	2	17	2019-12-08	0.19	3	364
753079	Bright suite with private bathroom HUTG-015653	3914060	Shruti Home		Corçà	41.98816	3.01684	Private room	65	1	37	2019-10-19	0.41	1	363
753604	"La Talaia" Holiday House-BBQ-WiFi-Pool	3964191	Oscar		Lloret de Mar	41.7173	2.86409	Entire home/apt	125	2	73	2020-09-04	0.84	3	0
755927	Room Oliva - Casa Pati de l´Albera	3680160	Roberto		Sant Climent Sescebes	42.36958	2.9803	Private room	44	2	8	2020-06-28	0.09	6	355
756145	Room Abeto - Casa Pati de l´Albera	3680160	Roberto		Sant Climent Sescebes	42.36958	2.9803	Private room	50	2	12	2019-07-14	0.14	6	0
756179	Room Pomelo - Casa Pati de l´Albera	3680160	Roberto		Sant Climent Sescebes	42.36958	2.9803	Private room	48	2	6	2016-08-16	0.09	6	355
756944	Room Uvas - Casa Pati de l´Albera	3680160	Roberto		Sant Climent Sescebes	42.36958	2.9803	Private room	73	2	15	2019-08-21	0.17	6	354
766763	Modern Villa with spectacular view and a pool	4043268	Fabien		Begur	41.96041	3.22659	Entire home/apt	364	5	17	2020-09-30	0.32	2	0
771850	Luxurious Villa in La Costa Brava	4072871	Marta		Castell-Platja d'Aro	41.79449	3.05269	Entire home/apt	350	30	0			1	365
774371	ÁTICO DUPLEX a 20 metros de la playa	4085536	Jordi		Calonge	41.84428	3.10006	Entire home/apt	60	6	11	2020-07-25	0.24	2	78
784892	La Cerdanya. Queixans	4073860	Silvia		Fontanals de Cerdanya	42.39611	1.91888	Entire home/apt	80	90	1	2015-09-11	0.02	1	358
786799	Holiday beach apartment in Blanes	4147847	Anthony		Blanes	41.66312	2.78154	Entire home/apt	47	3	41	2020-09-05	0.48	1	365
791845	Ecofriendly getaways in Costa Brava	1023612	Mercè I Lluis		Rupià	42.0171	3.01034	Entire home/apt	108	4	27	2019-09-16	0.30	1	361
794265	Casa con piscina a 50m playa.Calonge Costa Brava	4192751	Xènia		Calonge	41.84327	3.09243	Entire home/apt	80	3	4	2017-06-05	0.09	1	364
810373	Wondeful Beach flat at Roses	4261656	Bruno		Roses	42.24734	3.1973	Entire home/apt	138	1	65	2019-09-27	0.80	1	168
822805	Beautifull in the first line of sea	4320039	Luis		Blanes	41.66048	2.78095	Entire home/apt	64	2	69	2020-08-21	0.77	1	365
841345	Casa en piso superior y vistas a la montaña (WIFI)	4393990	Juan Carlos		Pals	41.98118	3.17086	Entire home/apt	129	7	2	2019-08-13	0.05	1	358
845011	Rustic "Mas" farmhouse Costa Brava | Dalí 10 Pax	3961251	Ana		Vilanant	42.25835	2.87583	Entire home/apt	340	6	25	2020-08-08	0.29	3	364
845209	Casa a 300 m del lago de Banyoles HUTG-030876-58	4412627	Inma		Banyoles	42.11414	2.75722	Entire home/apt	110	1	18	2020-01-01	0.19	2	365
854021	Great family house, Costa Brava	4282861	Gerusa		Serra de Daró	42.02913	3.07318	Entire home/apt	90	2	110	2020-09-04	1.25	1	346
856837	Medieval Castle for 10 persons	4480521	Marc		Ripoll	42.15281	2.24407	Entire home/apt	287	2	35	2019-08-15	0.42	3	301
858015	Country House⭐Can Simonet⭐Camprodon	1373228	Jordi		Camprodon	42.33747	2.45288	Entire home/apt	117	2	16	2020-10-25	0.24	8	55
873135	HOUSE/VILLA in COSTA BRAVA.SEA VIEW	1791366	José Manuel Y María		Calonge	41.82845	3.07903	Entire home/apt	160	28	20	2020-08-14	0.32	3	365
876041	Amazing penthouse at the beach	12346740	Raimon		Palamós	41.85516	3.14231	Entire home/apt	200	7	5	2020-07-11	0.08	59	280
877613	Mas Roure Vell - Loft suite in Garrotxa	4369306	Anna		Tortellà	42.22897	2.62321	Private room	170	1	101	2020-02-19	01.09	6	300
879742	RESIDENTIAL FLAT Lloret de Mar (Nex	4652235	Milagros		Lloret de Mar	41.69495	2.82383	Entire home/apt	61	30	18	2018-08-24	0.20	1	365
886328	NICE HOUSE with SEA VIEWS TOSSA	1298586	Kristjan Y Ana		Tossa de Mar	41.71748	2.92887	Entire home/apt	113	2	6	2016-04-01	0.07	115	6
888531	SPACIOUS APARTMENT, LARGE TERRACES	4711926	Laura		Castell-Platja d'Aro	41.81625	3.06547	Entire home/apt	180	7	0			1	363
891187	Disfruta de la naturaleza y el mar que rodean esta lujosa casa en la Costa Brava	4734897	Carles&Constanze		Palau-sator	41.99374	3.12347	Entire home/apt	260	7	7	2020-01-01	0.11	1	331
891269	S. XII Can Ribes Lago de Banyoles        PG-000048	4412627	Inma		Camós	42.07192	2.78614	Entire home/apt	420	1	25	2020-10-25	0.27	2	361
892459	Charming mountain flat with garden	3795762	Carlos		Vilallonga de Ter	42.3304	2.31161	Entire home/apt	85	30	0			1	365
899668	Casa de campo en la Costa Brava	553059	Laura		Llagostera	41.84193	2.95137	Entire home/apt	163	2	7	2020-10-12	0.11	5	364
903777	Apartemento en la Costa Brava	4597849	Ofelia		Castell-Platja d'Aro	41.80013	3.04111	Entire home/apt	65	5	31	2020-09-16	0.35	1	363
912211	Chalet with garden in Costa Brava	4894695	Laura		Santa Cristina d'Aro	41.80946	2.99019	Entire home/apt	200	5	3	2016-08-19	0.03	1	364
913541	Lovely  apartment in Girona center 3 BR Netflix	4903781	Montserrat		Girona	41.97348	2.82215	Entire home/apt	53	3	148	2020-10-12	1.59	2	356
916209	Fully equipped studio with fantastic views	4916987	Peter		Roses	42.26474	3.14778	Entire home/apt	40	7	17	2020-08-27	0.19	1	365
924601	CASA CON JARDÍN, IDEAL FAMILIA..	3846451	Imma		Santa Cristina d'Aro	41.8126	2.96759	Entire home/apt	114	4	1	2013-09-11	0.01	1	185
927257	CAN L'HOSPITALET	4989432	Maria		Sant Ferriol	42.21289	2.68552	Entire home/apt	400	2	13	2019-07-13	0.14	2	0
929857	House with private pool, terrace	5007417	Jordi		Torroella de Montgrí	42.05805	3.19907	Entire home/apt	215	2	19	2020-09-13	0.25	3	310
930193	Lovely apartment,Calella palafrugel	5010327	Marc		Palafrugell	41.89157	3.18713	Entire home/apt	140	2	44	2020-08-13	0.49	2	364
934350	Beautiful House with Pool and Beach 50 meters	4673797	Nikodin		Calonge	41.84131	3.09432	Entire home/apt	230	7	3	2019-08-18	0.11	1	45
934823	3 Floors Luxurious Villa Costa Brav	5043625	Alexander		Lloret de Mar	41.71743	2.86843	Entire home/apt	350	10	22	2019-08-25	0.28	1	364
934873	Lovely apartment in a small cove	5043724	Cristina		Palafrugell	41.91969	3.20214	Entire home/apt	82	2	105	2020-08-23	1.14	2	364
938593	Seaside apartment, modern and cozy	4063764	Mònica		Castell-Platja d'Aro	41.81357	3.06445	Entire home/apt	106	7	10	2017-08-03	0.11	2	365
939378	Canyelles Mar - Luxury  apartment A-1 beach/ pool	5074486	Eveline		Roses	42.24624	3.1975	Entire home/apt	123	7	6	2020-06-29	0.12	2	52
